subject,accuracy,precision,recall,f1_score,kappa,specificity,tn,fp,fn,tp,roc_auc,fpr,tpr
1,0.9791666666666666,0.9859154929577465,0.9722222222222222,0.9790209790209791,0.9583333333333334,0.9861111111111112,71,1,2,70,0.9920910493827161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.041666666666666664, 0.041666666666666664, 0.3055555555555556, 0.3055555555555556, 1.0]","[0.0, 0.013888888888888888, 0.2222222222222222, 0.25, 0.75, 0.75, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
2,0.8055555555555556,0.7682926829268293,0.875,0.8181818181818182,0.6111111111111112,0.7361111111111112,53,19,9,63,0.8445216049382717,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.08333333333333333, 0.08333333333333333, 0.09722222222222222, 0.09722222222222222, 0.125, 0.125, 0.1388888888888889, 0.1388888888888889, 0.18055555555555555, 0.18055555555555555, 0.2222222222222222, 0.2222222222222222, 0.2361111111111111, 0.2361111111111111, 0.2638888888888889, 0.2638888888888889, 0.3611111111111111, 0.3611111111111111, 0.4444444444444444, 0.4444444444444444, 0.5277777777777778, 0.5277777777777778, 0.5416666666666666, 0.5416666666666666, 0.5555555555555556, 0.5555555555555556, 0.5972222222222222, 0.5972222222222222, 0.6388888888888888, 0.6388888888888888, 0.9583333333333334, 0.9583333333333334, 1.0]","[0.0, 0.013888888888888888, 0.027777777777777776, 0.05555555555555555, 0.08333333333333333, 0.125, 0.2222222222222222, 0.2222222222222222, 0.3194444444444444, 0.3194444444444444, 0.3472222222222222, 0.3472222222222222, 0.4166666666666667, 0.4166666666666667, 0.4722222222222222, 0.4722222222222222, 0.4861111111111111, 0.4861111111111111, 0.5138888888888888, 0.5138888888888888, 0.5277777777777778, 0.5277777777777778, 0.6111111111111112, 0.6111111111111112, 0.6805555555555556, 0.6805555555555556, 0.8055555555555556, 0.8055555555555556, 0.8472222222222222, 0.8472222222222222, 0.875, 0.875, 0.9027777777777778, 0.9027777777777778, 0.9166666666666666, 0.9166666666666666, 0.9305555555555556, 0.9305555555555556, 0.9444444444444444, 0.9444444444444444, 0.9583333333333334, 0.9583333333333334, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
3,0.9513888888888888,0.9333333333333333,0.9722222222222222,0.9523809523809523,0.9027777777777778,0.9305555555555556,67,5,2,70,0.9760802469135803,"[0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.1388888888888889, 0.1388888888888889, 0.19444444444444445, 0.19444444444444445, 1.0]","[0.0, 0.013888888888888888, 0.3333333333333333, 0.3333333333333333, 0.6388888888888888, 0.6388888888888888, 0.6666666666666666, 0.6666666666666666, 0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
4,0.8680555555555556,0.9206349206349206,0.8055555555555556,0.8592592592592593,0.7361111111111112,0.9305555555555556,67,5,14,58,0.90625,"[0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.08333333333333333, 0.08333333333333333, 0.1527777777777778, 0.1527777777777778, 0.18055555555555555, 0.18055555555555555, 0.19444444444444445, 0.19444444444444445, 0.2638888888888889, 0.2638888888888889, 0.3333333333333333, 0.3333333333333333, 0.5138888888888888, 0.5138888888888888, 0.5277777777777778, 0.5277777777777778, 0.5972222222222222, 0.5972222222222222, 0.6527777777777778, 0.6527777777777778, 1.0]","[0.0, 0.013888888888888888, 0.041666666666666664, 0.041666666666666664, 0.1388888888888889, 0.1388888888888889, 0.25, 0.25, 0.6388888888888888, 0.6388888888888888, 0.7222222222222222, 0.7222222222222222, 0.8055555555555556, 0.8055555555555556, 0.8194444444444444, 0.8194444444444444, 0.8472222222222222, 0.8472222222222222, 0.8611111111111112, 0.8611111111111112, 0.8888888888888888, 0.8888888888888888, 0.9027777777777778, 0.9027777777777778, 0.9444444444444444, 0.9444444444444444, 0.9583333333333334, 0.9583333333333334, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
5,0.7013888888888888,0.6986301369863014,0.7083333333333334,0.7034482758620689,0.4027777777777778,0.6944444444444444,50,22,21,51,0.7324459876543211,"[0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.09722222222222222, 0.09722222222222222, 0.1111111111111111, 0.1111111111111111, 0.1388888888888889, 0.1388888888888889, 0.1527777777777778, 0.1527777777777778, 0.18055555555555555, 0.18055555555555555, 0.19444444444444445, 0.19444444444444445, 0.20833333333333334, 0.20833333333333334, 0.2222222222222222, 0.2222222222222222, 0.2361111111111111, 0.2361111111111111, 0.2638888888888889, 0.2638888888888889, 0.2777777777777778, 0.2777777777777778, 0.2916666666666667, 0.2916666666666667, 0.3055555555555556, 0.3055555555555556, 0.3194444444444444, 0.3194444444444444, 0.375, 0.375, 0.3888888888888889, 0.3888888888888889, 0.4166666666666667, 0.4166666666666667, 0.5416666666666666, 0.5416666666666666, 0.5555555555555556, 0.5555555555555556, 0.5694444444444444, 0.5694444444444444, 0.5833333333333334, 0.5833333333333334, 0.5972222222222222, 0.5972222222222222, 0.6666666666666666, 0.6666666666666666, 0.6805555555555556, 0.6805555555555556, 0.6944444444444444, 0.6944444444444444, 0.8472222222222222, 0.8472222222222222, 0.8611111111111112, 0.8611111111111112, 0.9166666666666666, 0.9166666666666666, 0.9722222222222222, 0.9722222222222222, 1.0]","[0.0, 0.013888888888888888, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0.18055555555555555, 0.18055555555555555, 0.2222222222222222, 0.2222222222222222, 0.3888888888888889, 0.3888888888888889, 0.4444444444444444, 0.4444444444444444, 0.4722222222222222, 0.4722222222222222, 0.5138888888888888, 0.5138888888888888, 0.5277777777777778, 0.5277777777777778, 0.5555555555555556, 0.5555555555555556, 0.5694444444444444, 0.5694444444444444, 0.5972222222222222, 0.5972222222222222, 0.6111111111111112, 0.6111111111111112, 0.625, 0.625, 0.6527777777777778, 0.6527777777777778, 0.6805555555555556, 0.6805555555555556, 0.7083333333333334, 0.7083333333333334, 0.7361111111111112, 0.7361111111111112, 0.75, 0.75, 0.7916666666666666, 0.7916666666666666, 0.8055555555555556, 0.8055555555555556, 0.8194444444444444, 0.8194444444444444, 0.8333333333333334, 0.8333333333333334, 0.8472222222222222, 0.8472222222222222, 0.8611111111111112, 0.8611111111111112, 0.875, 0.875, 0.8888888888888888, 0.8888888888888888, 0.9027777777777778, 0.9027777777777778, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9583333333333334, 0.9583333333333334, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
6,0.7777777777777778,0.7857142857142857,0.7638888888888888,0.7746478873239436,0.5555555555555556,0.7916666666666666,57,15,17,55,0.823881172839506,"[0.0, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776, 0.05555555555555555, 0.05555555555555555, 0.06944444444444445, 0.06944444444444445, 0.08333333333333333, 0.08333333333333333, 0.09722222222222222, 0.09722222222222222, 0.1111111111111111, 0.1111111111111111, 0.1388888888888889, 0.1388888888888889, 0.1527777777777778, 0.1527777777777778, 0.16666666666666666, 0.16666666666666666, 0.18055555555555555, 0.18055555555555555, 0.19444444444444445, 0.19444444444444445, 0.20833333333333334, 0.20833333333333334, 0.3472222222222222, 0.3472222222222222, 0.375, 0.375, 0.4027777777777778, 0.4027777777777778, 0.4166666666666667, 0.4166666666666667, 0.4305555555555556, 0.4305555555555556, 0.4722222222222222, 0.4722222222222222, 0.5277777777777778, 0.5277777777777778, 0.6388888888888888, 0.6388888888888888, 0.6666666666666666, 0.6666666666666666, 0.7083333333333334, 0.7083333333333334, 0.7222222222222222, 0.7222222222222222, 0.7777777777777778, 0.7777777777777778, 0.7916666666666666, 0.7916666666666666, 1.0]","[0.0, 0.0, 0.3055555555555556, 0.3055555555555556, 0.3888888888888889, 0.3888888888888889, 0.4444444444444444, 0.4444444444444444, 0.5694444444444444, 0.5694444444444444, 0.5972222222222222, 0.5972222222222222, 0.6111111111111112, 0.6111111111111112, 0.625, 0.625, 0.6388888888888888, 0.6388888888888888, 0.6527777777777778, 0.6527777777777778, 0.6666666666666666, 0.6666666666666666, 0.7083333333333334, 0.7083333333333334, 0.75, 0.75, 0.7777777777777778, 0.7777777777777778, 0.7916666666666666, 0.7916666666666666, 0.8055555555555556, 0.8055555555555556, 0.8333333333333334, 0.8333333333333334, 0.8472222222222222, 0.8472222222222222, 0.8611111111111112, 0.8611111111111112, 0.875, 0.875, 0.8888888888888888, 0.8888888888888888, 0.9166666666666666, 0.9166666666666666, 0.9444444444444444, 0.9444444444444444, 0.9583333333333334, 0.9583333333333334, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
7,0.8263888888888888,0.8507462686567164,0.7916666666666666,0.8201438848920863,0.6527777777777778,0.8611111111111112,62,10,15,57,0.8748070987654322,"[0.0, 0.0, 0.0, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.08333333333333333, 0.08333333333333333, 0.09722222222222222, 0.09722222222222222, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0.1388888888888889, 0.1388888888888889, 0.1527777777777778, 0.1527777777777778, 0.18055555555555555, 0.18055555555555555, 0.19444444444444445, 0.19444444444444445, 0.2222222222222222, 0.2222222222222222, 0.2777777777777778, 0.2777777777777778, 0.3055555555555556, 0.3055555555555556, 0.3611111111111111, 0.3611111111111111, 0.375, 0.375, 0.4027777777777778, 0.4027777777777778, 0.6111111111111112, 0.6111111111111112, 0.625, 0.625, 0.9444444444444444, 0.9444444444444444, 1.0]","[0.0, 0.013888888888888888, 0.20833333333333334, 0.20833333333333334, 0.2777777777777778, 0.2777777777777778, 0.3888888888888889, 0.3888888888888889, 0.5555555555555556, 0.5555555555555556, 0.6388888888888888, 0.6388888888888888, 0.6805555555555556, 0.6805555555555556, 0.6944444444444444, 0.6944444444444444, 0.7083333333333334, 0.7083333333333334, 0.7916666666666666, 0.7916666666666666, 0.8055555555555556, 0.8055555555555556, 0.8194444444444444, 0.8194444444444444, 0.8333333333333334, 0.8333333333333334, 0.8472222222222222, 0.8472222222222222, 0.8611111111111112, 0.8611111111111112, 0.875, 0.875, 0.8888888888888888, 0.8888888888888888, 0.9305555555555556, 0.9305555555555556, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
8,0.8819444444444444,0.8985507246376812,0.8611111111111112,0.8794326241134752,0.7638888888888888,0.9027777777777778,65,7,10,62,0.9463734567901234,"[0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776, 0.041666666666666664, 0.041666666666666664, 0.05555555555555555, 0.05555555555555555, 0.08333333333333333, 0.08333333333333333, 0.09722222222222222, 0.09722222222222222, 0.16666666666666666, 0.16666666666666666, 0.18055555555555555, 0.18055555555555555, 0.2222222222222222, 0.2222222222222222, 0.25, 0.25, 0.3472222222222222, 0.3472222222222222, 0.6111111111111112, 0.6111111111111112, 1.0]","[0.0, 0.013888888888888888, 0.3333333333333333, 0.3333333333333333, 0.6111111111111112, 0.6111111111111112, 0.7222222222222222, 0.7222222222222222, 0.7638888888888888, 0.7638888888888888, 0.7916666666666666, 0.7916666666666666, 0.8055555555555556, 0.8055555555555556, 0.8611111111111112, 0.8611111111111112, 0.875, 0.875, 0.9027777777777778, 0.9027777777777778, 0.9444444444444444, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
9,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0,72,0,4,68,0.9947916666666667,"[0.0, 0.0, 0.0, 0.013888888888888888, 0.013888888888888888, 0.06944444444444445, 0.06944444444444445, 0.1388888888888889, 0.1388888888888889, 0.1527777777777778, 0.1527777777777778, 1.0]","[0.0, 0.013888888888888888, 0.9444444444444444, 0.9444444444444444, 0.9583333333333334, 0.9583333333333334, 0.9722222222222222, 0.9722222222222222, 0.9861111111111112, 0.9861111111111112, 1.0, 1.0]"
combined,0.8626543209876543,0.8683385579937304,0.8549382716049383,0.8615863141524106,0.7253086419753086,0.8703703703703703,564,84,94,554,0.9122406550068587,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015432098765432098, 0.0030864197530864196, 0.0030864197530864196, 0.004629629629629629, 0.004629629629629629, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.007716049382716049, 0.007716049382716049, 0.009259259259259259, 0.009259259259259259, 0.010802469135802469, 0.010802469135802469, 0.012345679012345678, 0.012345679012345678, 0.013888888888888888, 0.013888888888888888, 0.015432098765432098, 0.015432098765432098, 0.016975308641975308, 0.016975308641975308, 0.018518518518518517, 0.018518518518518517, 0.020061728395061727, 0.020061728395061727, 0.021604938271604937, 0.021604938271604937, 0.023148148148148147, 0.023148148148148147, 0.024691358024691357, 0.024691358024691357, 0.026234567901234566, 0.026234567901234566, 0.027777777777777776, 0.027777777777777776, 0.030864197530864196, 0.030864197530864196, 0.032407407407407406, 0.032407407407407406, 0.033950617283950615, 0.033950617283950615, 0.038580246913580245, 0.038580246913580245, 0.041666666666666664, 0.041666666666666664, 0.043209876543209874, 0.043209876543209874, 0.044753086419753084, 0.044753086419753084, 0.046296296296296294, 0.046296296296296294, 0.047839506172839504, 0.047839506172839504, 0.04938271604938271, 0.04938271604938271, 0.05092592592592592, 0.05092592592592592, 0.05246913580246913, 0.05246913580246913, 0.05401234567901234, 0.05401234567901234, 0.05555555555555555, 0.05555555555555555, 0.05709876543209876, 0.05709876543209876, 0.05864197530864197, 0.05864197530864197, 0.06018518518518518, 0.06018518518518518, 0.06172839506172839, 0.06172839506172839, 0.06327160493827161, 0.06327160493827161, 0.06481481481481481, 0.06481481481481481, 0.06790123456790123, 0.06790123456790123, 0.07098765432098765, 0.07098765432098765, 0.07253086419753087, 0.07253086419753087, 0.07407407407407407, 0.07407407407407407, 0.07561728395061729, 0.07561728395061729, 0.0787037037037037, 0.0787037037037037, 0.08024691358024691, 0.08024691358024691, 0.08179012345679013, 0.08179012345679013, 0.08487654320987655, 0.08487654320987655, 0.08796296296296297, 0.08796296296296297, 0.08950617283950617, 0.08950617283950617, 0.09259259259259259, 0.09259259259259259, 0.0941358024691358, 0.0941358024691358, 0.09567901234567901, 0.09567901234567901, 0.09876543209876543, 0.09876543209876543, 0.10030864197530864, 0.10030864197530864, 0.10339506172839506, 0.10339506172839506, 0.10493827160493827, 0.10493827160493827, 0.10648148148148148, 0.10648148148148148, 0.10802469135802469, 0.10802469135802469, 0.1095679012345679, 0.1095679012345679, 0.11265432098765432, 0.11265432098765432, 0.11419753086419752, 0.11419753086419752, 0.11574074074074074, 0.11574074074074074, 0.11728395061728394, 0.11728395061728394, 0.11882716049382716, 0.11882716049382716, 0.12191358024691358, 0.12191358024691358, 0.12345679012345678, 0.12345679012345678, 0.12654320987654322, 0.12654320987654322, 0.12808641975308643, 0.12808641975308643, 0.12962962962962962, 0.12962962962962962, 0.13117283950617284, 0.13117283950617284, 0.13271604938271606, 0.13271604938271606, 0.13425925925925927, 0.13425925925925927, 0.14660493827160495, 0.14660493827160495, 0.14969135802469136, 0.14969135802469136, 0.1558641975308642, 0.1558641975308642, 0.1574074074074074, 0.1574074074074074, 0.15895061728395063, 0.15895061728395063, 0.1697530864197531, 0.1697530864197531, 0.17901234567901234, 0.17901234567901234, 0.18981481481481483, 0.18981481481481483, 0.2006172839506173, 0.2006172839506173, 0.2037037037037037, 0.2037037037037037, 0.20679012345679013, 0.20679012345679013, 0.20987654320987653, 0.20987654320987653, 0.21141975308641975, 0.21141975308641975, 0.21450617283950618, 0.21450617283950618, 0.21604938271604937, 0.21604938271604937, 0.22839506172839505, 0.22839506172839505, 0.2330246913580247, 0.2330246913580247, 0.2361111111111111, 0.2361111111111111, 0.24382716049382716, 0.24382716049382716, 0.24537037037037038, 0.24537037037037038, 0.2515432098765432, 0.2515432098765432, 0.25308641975308643, 0.25308641975308643, 0.25771604938271603, 0.25771604938271603, 0.2623456790123457, 0.2623456790123457, 0.2638888888888889, 0.2638888888888889, 0.2654320987654321, 0.2654320987654321, 0.26697530864197533, 0.26697530864197533, 0.2700617283950617, 0.2700617283950617, 0.2762345679012346, 0.2762345679012346, 0.2777777777777778, 0.2777777777777778, 0.2824074074074074, 0.2824074074074074, 0.2932098765432099, 0.2932098765432099, 0.29475308641975306, 0.29475308641975306, 0.30092592592592593, 0.30092592592592593, 0.30401234567901236, 0.30401234567901236, 0.3117283950617284, 0.3117283950617284, 0.3194444444444444, 0.3194444444444444, 0.3256172839506173, 0.3256172839506173, 0.3287037037037037, 0.3287037037037037, 0.33796296296296297, 0.33796296296296297, 0.3425925925925926, 0.3425925925925926, 0.35030864197530864, 0.35030864197530864, 0.3611111111111111, 0.3611111111111111, 0.36419753086419754, 0.36419753086419754, 0.36882716049382713, 0.36882716049382713, 0.3765432098765432, 0.3765432098765432, 0.37962962962962965, 0.37962962962962965, 0.38117283950617287, 0.38117283950617287, 0.38425925925925924, 0.38425925925925924, 0.3888888888888889, 0.3888888888888889, 0.4012345679012346, 0.4012345679012346, 0.42901234567901236, 0.42901234567901236, 0.43209876543209874, 0.43209876543209874, 0.44135802469135804, 0.44135802469135804, 0.44598765432098764, 0.44598765432098764, 0.4537037037037037, 0.4537037037037037, 0.45524691358024694, 0.45524691358024694, 0.4722222222222222, 0.4722222222222222, 0.48919753086419754, 0.48919753086419754, 0.5030864197530864, 0.5030864197530864, 0.5061728395061729, 0.5061728395061729, 0.5077160493827161, 0.5077160493827161, 0.5154320987654321, 0.5154320987654321, 0.5169753086419753, 0.5169753086419753, 0.529320987654321, 0.529320987654321, 0.5339506172839507, 0.5339506172839507, 0.5478395061728395, 0.5478395061728395, 0.5509259259259259, 0.5509259259259259, 0.5787037037037037, 0.5787037037037037, 0.5817901234567902, 0.5817901234567902, 0.6126543209876543, 0.6126543209876543, 0.6450617283950617, 0.6450617283950617, 0.6481481481481481, 0.6481481481481481, 0.691358024691358, 0.691358024691358, 0.7808641975308642, 0.7808641975308642, 0.9598765432098766, 0.9598765432098766, 1.0]","[0.0, 0.0015432098765432098, 0.004629629629629629, 0.007716049382716049, 0.010802469135802469, 0.015432098765432098, 0.029320987654320986, 0.030864197530864196, 0.030864197530864196, 0.044753086419753084, 0.044753086419753084, 0.05092592592592592, 0.05092592592592592, 0.05864197530864197, 0.06172839506172839, 0.07253086419753087, 0.07561728395061729, 0.0787037037037037, 0.0787037037037037, 0.10030864197530864, 0.10030864197530864, 0.11265432098765432, 0.11265432098765432, 0.1728395061728395, 0.1728395061728395, 0.17901234567901234, 0.17901234567901234, 0.18981481481481483, 0.18981481481481483, 0.21296296296296297, 0.21296296296296297, 0.22067901234567902, 0.22067901234567902, 0.22839506172839505, 0.22839506172839505, 0.23148148148148148, 0.23148148148148148, 0.2854938271604938, 0.2854938271604938, 0.28858024691358025, 0.28858024691358025, 0.32407407407407407, 0.32407407407407407, 0.36574074074074076, 0.36574074074074076, 0.37037037037037035, 0.37037037037037035, 0.3765432098765432, 0.3765432098765432, 0.4444444444444444, 0.4444444444444444, 0.45524691358024694, 0.45524691358024694, 0.48302469135802467, 0.48302469135802467, 0.5138888888888888, 0.5138888888888888, 0.5231481481481481, 0.5231481481481481, 0.5354938271604939, 0.5354938271604939, 0.5601851851851852, 0.5601851851851852, 0.5617283950617284, 0.5617283950617284, 0.5648148148148148, 0.5648148148148148, 0.5833333333333334, 0.5833333333333334, 0.5972222222222222, 0.5972222222222222, 0.6018518518518519, 0.6018518518518519, 0.6296296296296297, 0.6296296296296297, 0.6358024691358025, 0.6358024691358025, 0.6450617283950617, 0.6450617283950617, 0.6512345679012346, 0.6512345679012346, 0.6666666666666666, 0.6666666666666666, 0.6682098765432098, 0.6682098765432098, 0.6697530864197531, 0.6697530864197531, 0.6728395061728395, 0.6728395061728395, 0.683641975308642, 0.683641975308642, 0.6929012345679012, 0.6929012345679012, 0.7021604938271605, 0.7021604938271605, 0.7037037037037037, 0.7037037037037037, 0.7114197530864198, 0.7114197530864198, 0.720679012345679, 0.720679012345679, 0.7253086419753086, 0.7253086419753086, 0.7330246913580247, 0.7330246913580247, 0.7407407407407407, 0.7407407407407407, 0.7422839506172839, 0.7422839506172839, 0.7453703703703703, 0.7453703703703703, 0.7469135802469136, 0.7469135802469136, 0.7577160493827161, 0.7577160493827161, 0.7716049382716049, 0.7716049382716049, 0.7824074074074074, 0.7824074074074074, 0.7854938271604939, 0.7854938271604939, 0.7901234567901234, 0.7901234567901234, 0.7962962962962963, 0.7962962962962963, 0.7993827160493827, 0.7993827160493827, 0.8024691358024691, 0.8024691358024691, 0.8055555555555556, 0.8055555555555556, 0.8148148148148148, 0.8148148148148148, 0.8240740740740741, 0.8240740740740741, 0.8302469135802469, 0.8302469135802469, 0.8317901234567902, 0.8317901234567902, 0.8348765432098766, 0.8348765432098766, 0.8379629629629629, 0.8379629629629629, 0.8472222222222222, 0.8472222222222222, 0.8487654320987654, 0.8487654320987654, 0.8549382716049383, 0.8549382716049383, 0.8564814814814815, 0.8564814814814815, 0.8580246913580247, 0.8580246913580247, 0.8595679012345679, 0.8595679012345679, 0.8611111111111112, 0.8611111111111112, 0.8626543209876543, 0.8626543209876543, 0.8641975308641975, 0.8641975308641975, 0.8657407407407407, 0.8657407407407407, 0.8672839506172839, 0.8672839506172839, 0.8688271604938271, 0.8688271604938271, 0.8703703703703703, 0.8703703703703703, 0.8719135802469136, 0.8719135802469136, 0.8734567901234568, 0.8734567901234568, 0.875, 0.875, 0.8780864197530864, 0.8780864197530864, 0.8796296296296297, 0.8796296296296297, 0.8811728395061729, 0.8811728395061729, 0.8827160493827161, 0.8827160493827161, 0.8842592592592593, 0.8842592592592593, 0.8858024691358025, 0.8858024691358025, 0.8873456790123457, 0.8873456790123457, 0.8904320987654321, 0.8904320987654321, 0.8919753086419753, 0.8919753086419753, 0.8935185185185185, 0.8935185185185185, 0.8950617283950617, 0.8950617283950617, 0.8981481481481481, 0.8981481481481481, 0.8996913580246914, 0.8996913580246914, 0.9012345679012346, 0.9012345679012346, 0.9027777777777778, 0.9027777777777778, 0.904320987654321, 0.904320987654321, 0.9089506172839507, 0.9089506172839507, 0.9120370370370371, 0.9120370370370371, 0.9135802469135802, 0.9135802469135802, 0.9151234567901234, 0.9151234567901234, 0.9166666666666666, 0.9166666666666666, 0.9182098765432098, 0.9182098765432098, 0.9197530864197531, 0.9197530864197531, 0.9212962962962963, 0.9212962962962963, 0.9243827160493827, 0.9243827160493827, 0.9274691358024691, 0.9274691358024691, 0.9290123456790124, 0.9290123456790124, 0.9320987654320988, 0.9320987654320988, 0.933641975308642, 0.933641975308642, 0.9351851851851852, 0.9351851851851852, 0.9382716049382716, 0.9382716049382716, 0.9398148148148148, 0.9398148148148148, 0.9429012345679012, 0.9429012345679012, 0.9444444444444444, 0.9444444444444444, 0.9459876543209876, 0.9459876543209876, 0.9475308641975309, 0.9475308641975309, 0.9490740740740741, 0.9490740740740741, 0.9506172839506173, 0.9506172839506173, 0.9521604938271605, 0.9521604938271605, 0.9552469135802469, 0.9552469135802469, 0.9567901234567902, 0.9567901234567902, 0.9583333333333334, 0.9583333333333334, 0.9598765432098766, 0.9598765432098766, 0.9614197530864198, 0.9614197530864198, 0.9629629629629629, 0.9629629629629629, 0.9645061728395061, 0.9645061728395061, 0.9660493827160493, 0.9660493827160493, 0.9691358024691358, 0.9691358024691358, 0.970679012345679, 0.970679012345679, 0.9737654320987654, 0.9737654320987654, 0.9753086419753086, 0.9753086419753086, 0.9783950617283951, 0.9783950617283951, 0.9799382716049383, 0.9799382716049383, 0.9814814814814815, 0.9814814814814815, 0.9830246913580247, 0.9830246913580247, 0.9845679012345679, 0.9845679012345679, 0.9861111111111112, 0.9861111111111112, 0.9876543209876543, 0.9876543209876543, 0.9891975308641975, 0.9891975308641975, 0.9907407407407407, 0.9907407407407407, 0.9922839506172839, 0.9922839506172839, 0.9938271604938271, 0.9938271604938271, 0.9953703703703703, 0.9953703703703703, 0.9969135802469136, 0.9969135802469136, 0.9984567901234568, 0.9984567901234568, 1.0, 1.0]"
